Source Stations;Shinkansen_Line;Destination Stations;Distance; Cost (Yen) ;Durations (Min);Line;;;;;;;;;
Ueno;Hokuriku_Shinkansen;Omiya;26.7; ¥1.370 ;18;Kagayaki;;;;;;;;;
Ueno;Hokuriku_Shinkansen;Omiya;27.7; ¥1.370 ;18;Asama;;;;;;;;;
Ueno;Hokuriku_Shinkansen;Omiya;28.7; ¥1.370 ;18;Hakutaka;;;;;;;;;
Omiya;Hokuriku_Shinkansen;Nagano;192.4; ¥6.050 ;58;Kagayaki;;;;;;;;;
Omiya;Hokuriku_Shinkansen;Takasaki;74.8; ¥3.210 ;23;Hakutaka;;;;;;;;;
Omiya;Hokuriku_Shinkansen;Takasaki;74.8; ¥3.210 ;26;Asama;;;;;;;;;
Takasaki;Hokuriku_Shinkansen;Karuizawa;41.8; ¥2.640 ;19;Asama;;;;;;;;;
Takasaki;Hokuriku_Shinkansen;Nagano;117.6; ¥4.620 ;47;Hakutaka;;;;;;;;;
Karuizawa;Hokuriku_Shinkansen;Sakudaira;17.7; ¥1.210 ;8;Asama;;;;;;;;;
Sakudaira;Hokuriku_Shinkansen;Ueda;24.7; ¥1.300 ;9;Asama;;;;;;;;;
Ueda;Hokuriku_Shinkansen;Nagano;33.3; ¥1.470 ;12;Asama;;;;;;;;;
Nagano;Hokuriku_Shinkansen;Joetsu-Myoko;59.2; ¥2.860 ;22;Hakutaka;;;;;;;;;
Nagano;Hokuriku_Shinkansen;Toyama;169.2; ¥6.710 ;48;Kagayaka;;;;;;;;;
Joetsu-Myoko;Hokuriku_Shinkansen;Itoigawa;37; ¥1.560 ;13;Hakutaka;;;;;;;;;
Itoigawa;Hokuriku_Shinkansen;Kurobe-Unazukionsen;39.2; ¥1.560 ;14;Hakutaka;;;;;;;;;
Kurobe-Unazukionsen;Hokuriku_Shinkansen;Toyama;33.9; ¥1.470 ;12;Hakutaka;;;;;;;;;
Toyama;Hokuriku_Shinkansen;Shin-Takaoka;18.8; ¥1.210 ;8;Hakutaka;;;;;;;;;
Toyama;Hokuriku_Shinkansen;Shin-Takaoka;18.8; ¥1.210 ;8;Tsurugi;;;;;;;;;
Toyama;Hokuriku_Shinkansen;Kanazawa;58.4; ¥2.860 ;20;Kagayaki;;;;;;;;;
Shin-Takaoka;Hokuriku_Shinkansen;Kanazawa;39.6; ¥1.560 ;13;Hakutaka;;;;;;;;;
Shin-Takaoka;Hokuriku_Shinkansen;Kanazawa;39.6; ¥1.560 ;14;Tsurugi;;;;;;;;;
Kanazawa;Hokuriku_Shinkansen;Fukui;76.7; ¥3.210 ;32;Kagayaki;;;;;;;;;
Kanazawa;Hokuriku_Shinkansen;Fukui;76.7; ¥3.210 ;27;Tsurugi;;;;;;;;;
;;;;;;;;;;;;;;;
